CSV: data/binary008.csv
Reliability(all): 0.900000
Gridsize: 4
Maxlevel: 10
Number of circles: 105

Progress (level 1): 1 / 17 (5.900000%) ETA: 0.020000s
Progress (level 2): 2 / 19 (10.500000%) ETA: 0.010000s
Progress (level 2): 3 / 35 (8.600000%) ETA: 0.030000s
Progress (level 2): 4 / 47 (8.500000%) ETA: 0.040000s
Progress (level 2): 5 / 55 (9.100000%) ETA: 0.060000s
Progress (level 2): 6 / 66 (9.100000%) ETA: 0.070000s
Progress (level 2): 7 / 82 (8.500000%) ETA: 0.110000s
Progress (level 2): 8 / 98 (8.200000%) ETA: 0.170000s
Progress (level 2): 9 / 110 (8.200000%) ETA: 0.190000s
Progress (level 2): 10 / 126 (7.900000%) ETA: 0.210000s
Progress (level 2): 11 / 142 (7.700000%) ETA: 0.260000s
Progress (level 2): 12 / 158 (7.600000%) ETA: 0.330000s
Progress (level 2): 13 / 173 (7.500000%) ETA: 0.350000s
Progress (level 2): 14 / 181 (7.700000%) ETA: 0.350000s
Progress (level 2): 15 / 192 (7.800000%) ETA: 0.380000s
Progress (level 2): 16 / 204 (7.800000%) ETA: 0.430000s
Progress (level 2): 17 / 213 (8.000000%) ETA: 0.490000s
Progress (level 3): 18 / 213 (8.500000%) ETA: 0.470000s
Progress (level 3): 19 / 215 (8.800000%) ETA: 0.450000s
Progress (level 3): 20 / 215 (9.300000%) ETA: 0.430000s
Progress (level 3): 21 / 216 (9.700000%) ETA: 0.420000s
Progress (level 3): 22 / 217 (10.100000%) ETA: 0.400000s
Progress (level 3): 23 / 218 (10.600000%) ETA: 0.390000s
Progress (level 3): 24 / 218 (11.000000%) ETA: 0.380000s
Progress (level 3): 25 / 218 (11.500000%) ETA: 0.360000s
Progress (level 3): 26 / 219 (11.900000%) ETA: 0.360000s
Progress (level 3): 27 / 222 (12.200000%) ETA: 0.360000s
Progress (level 3): 28 / 228 (12.300000%) ETA: 0.360000s
Progress (level 3): 29 / 229 (12.700000%) ETA: 0.350000s
Progress (level 3): 30 / 234 (12.800000%) ETA: 0.350000s
Progress (level 3): 31 / 245 (12.700000%) ETA: 0.370000s
Progress (level 3): 32 / 251 (12.700000%) ETA: 0.370000s
Progress (level 3): 33 / 255 (12.900000%) ETA: 0.370000s
Progress (level 3): 34 / 265 (12.800000%) ETA: 0.390000s
Progress (level 3): 35 / 274 (12.800000%) ETA: 0.430000s
Progress (level 3): 36 / 274 (13.100000%) ETA: 0.420000s
Progress (level 3): 37 / 275 (13.500000%) ETA: 0.410000s
Progress (level 3): 38 / 276 (13.800000%) ETA: 0.410000s
Progress (level 3): 39 / 276 (14.100000%) ETA: 0.410000s
Progress (level 3): 40 / 276 (14.500000%) ETA: 0.400000s
Progress (level 3): 41 / 276 (14.900000%) ETA: 0.390000s
Progress (level 3): 42 / 281 (14.900000%) ETA: 0.400000s
Progress (level 3): 43 / 281 (15.300000%) ETA: 0.400000s
Progress (level 3): 44 / 291 (15.100000%) ETA: 0.420000s
Progress (level 3): 45 / 300 (15.000000%) ETA: 0.440000s
Progress (level 3): 46 / 304 (15.100000%) ETA: 0.450000s
Progress (level 3): 47 / 304 (15.500000%) ETA: 0.450000s
Progress (level 3): 48 / 304 (15.800000%) ETA: 0.440000s
Progress (level 3): 49 / 304 (16.100000%) ETA: 0.430000s
Progress (level 3): 50 / 305 (16.400000%) ETA: 0.430000s
Progress (level 3): 51 / 307 (16.600000%) ETA: 0.430000s
Progress (level 3): 52 / 314 (16.600000%) ETA: 0.450000s
Progress (level 3): 53 / 316 (16.800000%) ETA: 0.460000s
Progress (level 3): 54 / 316 (17.100000%) ETA: 0.450000s
Progress (level 3): 55 / 319 (17.200000%) ETA: 0.460000s
Progress (level 3): 56 / 320 (17.500000%) ETA: 0.460000s
Progress (level 3): 57 / 323 (17.600000%) ETA: 0.460000s
Progress (level 3): 58 / 324 (17.900000%) ETA: 0.450000s
Progress (level 3): 59 / 324 (18.200000%) ETA: 0.450000s
Progress (level 3): 60 / 329 (18.200000%) ETA: 0.450000s
Progress (level 3): 61 / 329 (18.500000%) ETA: 0.440000s
Progress (level 3): 62 / 329 (18.800000%) ETA: 0.440000s
Progress (level 3): 63 / 329 (19.100000%) ETA: 0.430000s
Progress (level 3): 64 / 329 (19.500000%) ETA: 0.430000s
Progress (level 3): 65 / 329 (19.800000%) ETA: 0.420000s
Progress (level 3): 66 / 329 (20.100000%) ETA: 0.420000s
Progress (level 3): 67 / 333 (20.100000%) ETA: 0.420000s
Progress (level 3): 68 / 339 (20.100000%) ETA: 0.430000s
Progress (level 3): 69 / 346 (19.900000%) ETA: 0.440000s
Progress (level 3): 70 / 360 (19.400000%) ETA: 0.480000s
Progress (level 3): 71 / 368 (19.300000%) ETA: 0.490000s
Progress (level 3): 72 / 373 (19.300000%) ETA: 0.500000s
Progress (level 3): 73 / 384 (19.000000%) ETA: 0.520000s
Progress (level 3): 74 / 395 (18.700000%) ETA: 0.560000s
Progress (level 3): 75 / 401 (18.700000%) ETA: 0.580000s
Progress (level 3): 76 / 401 (19.000000%) ETA: 0.590000s
Progress (level 3): 77 / 411 (18.700000%) ETA: 0.630000s
Progress (level 3): 78 / 425 (18.400000%) ETA: 0.700000s
Progress (level 3): 79 / 429 (18.400000%) ETA: 0.720000s
Progress (level 3): 80 / 434 (18.400000%) ETA: 0.740000s
Progress (level 3): 81 / 446 (18.200000%) ETA: 0.860000s
Progress (level 3): 82 / 456 (18.000000%) ETA: 0.940000s
Progress (level 3): 83 / 467 (17.800000%) ETA: 0.990000s
Progress (level 3): 84 / 478 (17.600000%) ETA: 1.090000s
Progress (level 3): 85 / 486 (17.500000%) ETA: 1.200000s
Progress (level 3): 86 / 490 (17.600000%) ETA: 1.270000s
Progress (level 3): 87 / 501 (17.400000%) ETA: 1.420000s
Progress (level 3): 88 / 514 (17.100000%) ETA: 1.620000s
Progress (level 3): 89 / 520 (17.100000%) ETA: 1.730000s
Progress (level 3): 90 / 523 (17.200000%) ETA: 1.820000s
Progress (level 3): 91 / 536 (17.000000%) ETA: 2.090000s
Progress (level 3): 92 / 546 (16.800000%) ETA: 2.440000s
Progress (level 3): 93 / 557 (16.700000%) ETA: 2.680000s
Progress (level 3): 94 / 561 (16.800000%) ETA: 2.830000s
Progress (level 3): 95 / 574 (16.600000%) ETA: 3.120000s
Progress (level 3): 96 / 585 (16.400000%) ETA: 3.690000s
Progress (level 3): 97 / 593 (16.400000%) ETA: 4.360000s
Progress (level 3): 98 / 603 (16.300000%) ETA: 5.010000s
Progress (level 3): 99 / 604 (16.400000%) ETA: 5.250000s
Progress (level 3): 100 / 608 (16.400000%) ETA: 5.740000s
Progress (level 3): 101 / 612 (16.500000%) ETA: 6.170000s
Progress (level 3): 102 / 615 (16.600000%) ETA: 6.500000s
Progress (level 3): 103 / 617 (16.700000%) ETA: 6.820000s
Progress (level 3): 104 / 617 (16.900000%) ETA: 7.240000s
Progress (level 3): 105 / 621 (16.900000%) ETA: 7.760000s
Progress (level 3): 106 / 621 (17.100000%) ETA: 7.900000s
Progress (level 3): 107 / 627 (17.100000%) ETA: 8.470000s
Progress (level 3): 108 / 634 (17.000000%) ETA: 9.880000s
Progress (level 3): 109 / 636 (17.100000%) ETA: 10.670000s
