datafile,circles,path_vectors,solve_time_sec
data/data020-001.json,18,9639,4.227741043
data/data020-002.json,20,66626,12.561504714
data/data020-003.json,19,67453,6.090012378
data/data020-004.json,20,153670,11.849056463
data/data020-005.json,22,319270,28.194980097
data/data020-006.json,18,55833,3.669064501
data/data020-007.json,17,22426,1.760688876
data/data020-008.json,20,64107,9.927926172
data/data020-009.json,19,61794,5.643855836
data/data020-010.json,19,35302,6.022275836
data/data020-011.json,17,26925,1.698372751
data/data020-012.json,19,54989,5.003255044
data/data020-013.json,20,106842,9.607215963
data/data020-014.json,18,40549,3.107282168
data/data020-015.json,19,44879,4.687818002
data/data020-016.json,19,66059,5.425441795
data/data020-017.json,20,67886,7.455199211
data/data020-018.json,20,168034,14.018913215
data/data020-019.json,20,79393,8.613461879
data/data020-020.json,20,139948,12.323482505
data/data020-021.json,19,34346,6.372882128
data/data020-022.json,17,19924,1.607802834
data/data020-023.json,21,190359,18.306863342
data/data020-024.json,21,167576,15.014626174
data/data020-026.json,17,19949,1.542230084
data/data020-028.json,19,157997,8.430433171
data/data020-029.json,19,83485,6.000877961
data/data020-030.json,17,14294,1.317926209
data/data020-031.json,20,84494,9.298391838
data/data020-032.json,18,19901,3.121577919
data/data020-033.json,19,64137,5.138050835
data/data020-034.json,19,51760,5.710675669
data/data020-035.json,18,44554,3.35890721
data/data020-036.json,17,16681,1.716714792
data/data020-037.json,20,122081,10.512240547
data/data020-038.json,17,15881,1.817477626
data/data020-039.json,19,18258,4.666895126
data/data020-040.json,18,40335,3.103840335
data/data020-041.json,17,38013,1.929411084
data/data020-042.json,22,258177,28.698208055
data/data020-043.json,20,175084,12.473181173
data/data020-044.json,18,42296,3.141441751
data/data020-045.json,19,56967,4.922234128
data/data020-046.json,17,26763,1.705598792
data/data020-047.json,17,17028,1.662806543
data/data020-048.json,17,25792,1.927808917
data/data020-049.json,21,151250,20.28983555
data/data020-050.json,19,68736,5.703042587
