datafile,sortmode,circles,convergence,level,nodes_phi1,nodes_phi2,peak_nodes,total_nodes,memory_mb,solve_time_sec,prob_time_varphi2_sec,prob_time_varphi1_sec,reliability_lb,reliability_ub
data/data015-001.json,center,35,true,7,1178,1178,16352,2329,10.585868835449219,0.642992042,0.037324833,0.000113417,0.9759512394234499,0.9759512394234499
data/data015-002.json,center,33,true,7,788,788,21462,1987,10.743766784667969,0.098011583,9.6583e-5,8.4625e-5,0.9767978587440194,0.9767978587440194
data/data015-003.json,center,30,true,6,1031,1031,12264,1360,10.441078186035156,0.066530625,0.000112292,0.000100458,0.8853558433820946,0.8853558433820946
data/data015-004.json,center,35,true,6,1301,1301,14308,3324,10.519523620605469,0.072990542,0.000142291,0.000135584,0.8987237305947056,0.8987237305947056
data/data015-005.json,center,31,true,6,977,977,8176,2222,10.316276550292969,0.04555825,0.000110584,9.6708e-5,0.98238703415269,0.98238703415269
data/data015-006.json,center,33,true,8,776,776,15330,1014,10.546684265136719,0.096717708,9.4625e-5,8.0875e-5,0.9920813437244141,0.9920813437244141
data/data015-007.json,center,31,true,6,1263,1263,19418,1315,10.675315856933594,0.087319,0.000143167,0.000119041,0.9869442742720191,0.9869442742720191
data/data015-008.json,center,32,true,7,571,571,12264,783,10.443183898925781,0.057603709,6.4916e-5,5.7333e-5,0.7820549936938893,0.7820549936938893
data/data015-009.json,center,34,true,5,2066,2066,27594,4176,10.942878723144531,0.061037875,0.000211083,0.000194833,0.9550566354167064,0.9550566354167064
data/data015-010.json,center,32,true,6,577,577,10220,915,10.382698059082031,0.05403525,6.45e-5,5.725e-5,0.8960119304992694,0.8960119304992694
data/data015-011.json,center,33,true,6,2747,2747,49056,3324,11.653099060058594,0.096760166,0.000315375,0.000294375,0.8789809737169951,0.8789809737169951
data/data015-012.json,center,33,true,7,468,468,9198,914,10.351554870605469,0.057547125,6.0208e-5,4.6958e-5,0.9245513242507124,0.9245513242507124
data/data015-013.json,center,33,true,6,1411,1411,20440,1772,10.710594177246094,0.08171375,0.000160792,0.000137417,0.9788531278608286,0.9788531278608286
