datafile,sortmode,circles,convergence,level,nodes_phi1,nodes_phi2,peak_nodes,total_nodes,memory_mb,solve_time_sec,prob_time_varphi2_sec,prob_time_varphi1_sec,reliability_lb,reliability_ub
data/data015-001.json,ycoordinate,35,true,7,350,350,13286,1620,10.486351013183594,0.625332833,0.037061125,3.6458e-5,0.9759512394234502,0.9759512394234502
data/data015-002.json,ycoordinate,33,true,7,333,333,18396,568,10.646202087402344,0.103430334,4.4041e-5,3.3667e-5,0.9767978587440195,0.9767978587440195
data/data015-003.json,ycoordinate,30,true,6,385,385,14308,826,10.509376525878906,0.061644417,4.7916e-5,3.9209e-5,0.8853558433820945,0.8853558433820945
data/data015-004.json,ycoordinate,35,true,6,630,630,14308,951,10.515617370605469,0.08112775,7.0291e-5,6.0042e-5,0.8987237305947054,0.8987237305947054
data/data015-005.json,ycoordinate,31,true,6,312,312,10220,1704,10.380668640136719,0.048346167,3.975e-5,3.8166e-5,0.9823870341526899,0.9823870341526899
data/data015-006.json,ycoordinate,33,true,8,358,358,18396,646,10.652061462402344,0.1009475,4.6708e-5,3.725e-5,0.9920813437244145,0.9920813437244145
data/data015-007.json,ycoordinate,31,true,6,370,370,15330,662,10.544578552246094,0.081670958,4.875e-5,3.7583e-5,0.9869442742720189,0.9869442742720189
data/data015-008.json,ycoordinate,32,true,7,133,133,10220,346,10.380744934082031,0.056349417,2.0291e-5,1.425e-5,0.7820549936938894,0.7820549936938894
data/data015-009.json,ycoordinate,34,true,5,256,256,15330,689,10.548713684082031,0.058853291,3.4334e-5,2.5708e-5,0.9550566354167065,0.9550566354167065
data/data015-010.json,ycoordinate,32,true,6,246,246,8176,483,10.318305969238281,0.053923084,3.5584e-5,2.5459e-5,0.8960119304992695,0.8960119304992695
data/data015-011.json,ycoordinate,33,true,6,761,761,34748,1159,11.178916931152344,0.0971085,9.8666e-5,8.1417e-5,0.8789809737169954,0.8789809737169954
data/data015-012.json,ycoordinate,33,true,7,206,206,10220,815,10.384727478027344,0.061283542,2.8e-5,1.9875e-5,0.9245513242507126,0.9245513242507126
data/data015-013.json,ycoordinate,33,true,6,450,450,17374,874,10.611076354980469,0.082933917,5.4041e-5,4.5292e-5,0.9788531278608287,0.9788531278608287
data/data015-014.json,ycoordinate,33,true,6,269,269,10220,941,10.382774353027344,0.060051584,3.6959e-5,2.775e-5,0.9743202594407689,0.9743202594407689
data/data015-015.json,ycoordinate,32,true,7,429,429,14308,1372,10.509529113769531,0.088859541,5.5625e-5,4.4417e-5,0.8772475967830177,0.8772475967830177
data/data015-016.json,ycoordinate,32,true,6,586,586,15330,2949,10.540748596191406,0.06806225,7.7083e-5,6.3542e-5,0.9753759438265477,0.9753759438265477
data/data015-017.json,ycoordinate,30,true,5,217,217,9198,740,10.345466613769531,0.039768541,3.0875e-5,2.275e-5,0.9494325349453685,0.9494325349453685
data/data015-018.json,ycoordinate,36,true,6,825,825,31682,2198,11.089393615722656,0.102273791,9.9125e-5,8.625e-5,0.994968070521754,0.994968070521754
data/data015-019.json,ycoordinate,32,true,8,168,168,8176,965,10.318305969238281,0.045762667,2.1166e-5,1.6667e-5,0.8792561903116304,0.8792561903116304
data/data015-020.json,ycoordinate,30,true,6,149,149,6132,1439,10.251808166503906,0.040866875,2.3292e-5,1.5333e-5,0.799352439877069,0.799352439877069
data/data015-021.json,ycoordinate,32,true,6,317,317,9198,1943,10.353431701660156,0.055588125,4.1e-5,3.1917e-5,0.9682118361004433,0.9682118361004433
