level,n_reached,n_resolved,n_refined,n_forced,nodes_phi1,nodes_phi2,peak_nodes,time_sec,R_lower,R_upper
1,326,202,0,124,231,1,6132,0.036798,0.000000000000,0.501935586619
2,702,459,94,149,271,196,9198,0.040122,0.291216792058,0.496949662507
3,1106,757,195,154,250,197,12264,0.044451,0.386424632378,0.492428715683
4,1498,1100,293,105,194,173,15330,0.062565,0.400291897695,0.451454897110
5,1734,1311,352,71,178,186,17374,0.072024,0.440392895956,0.447724616005
6,1890,1456,391,43,201,229,17374,0.076752,0.443679237499,0.447721887600
7,2026,1583,425,18,174,229,17374,0.081772,0.443679237499,0.447691629078
8,2098,1640,443,15,174,229,17374,0.085189,0.443679237499,0.447691629078
9,2158,1690,458,10,174,173,17374,0.090402,0.443682913591,0.447691629078
10,2198,1726,468,4,174,173,17374,0.091737,0.443682913591,0.447691629078
11,2214,1742,472,0,174,174,17374,0.089082,0.447691629078,0.447691629078
