datafile,n,evaluations,checked_exact,mismatches,min_abs_margin,min_rel_margin,converged
data/data011-001.json,57,2028288,0,0,2.385307e-08,4.072080e-07,true
data/data011-002.json,59,1786048,0,0,7.540616e-08,4.712885e-07,true
data/data011-003.json,54,1928448,0,0,3.284809e-08,8.212023e-07,true
data/data011-004.json,60,2580480,0,0,1.579703e-08,9.873141e-08,true
data/data011-005.json,57,2046528,0,0,1.632951e-08,4.082378e-07,true
data/data011-006.json,61,2709376,0,0,1.022109e-08,6.388179e-08,true
data/data011-007.json,58,2242048,0,0,1.029372e-08,6.433575e-08,true
data/data011-008.json,53,2092864,0,0,1.324455e-08,8.277846e-08,true
data/data011-009.json,55,1689600,0,0,1.064784e-07,6.654899e-07,true
data/data011-010.json,61,2424384,0,0,5.374947e-08,1.343737e-06,true
data/data011-011.json,60,2784000,0,0,2.983856e-08,1.864910e-07,true
data/data011-012.json,61,2162816,0,0,7.548493e-09,1.483452e-07,true
data/data011-013.json,57,2648448,0,0,9.113960e-08,7.097453e-07,true
data/data011-014.json,59,2258048,0,0,4.786931e-08,9.995104e-07,true
data/data011-015.json,58,2683776,0,0,2.269471e-08,1.418420e-07,true
data/data011-016.json,59,2125888,0,0,1.419193e-08,3.093306e-07,true
data/data011-017.json,60,1800960,0,0,2.426511e-08,1.516569e-07,true
data/data011-018.json,58,3103232,0,0,7.773713e-08,4.928270e-07,true
data/data011-019.json,58,2071296,0,0,1.200646e-09,3.001615e-08,true
data/data011-020.json,58,2397952,0,0,1.992504e-08,1.266392e-07,true
data/data011-021.json,58,2126976,0,0,1.330158e-08,3.325396e-07,true
data/data011-022.json,52,1717248,0,0,6.783405e-09,1.695851e-07,true
data/data011-023.json,59,2628096,0,0,9.253826e-09,2.313457e-07,true
data/data011-024.json,58,2494464,0,0,3.463447e-08,2.164655e-07,true
data/data011-025.json,54,1790208,0,0,5.307584e-08,3.317240e-07,true
data/data011-026.json,57,1761984,0,0,1.999527e-08,4.998818e-07,true
data/data011-027.json,56,1981952,0,0,2.478895e-09,1.549310e-08,true
data/data011-028.json,59,2567680,0,0,3.980159e-09,9.950397e-08,true
data/data011-029.json,54,2256768,0,0,1.075569e-08,6.722308e-08,true
data/data011-030.json,60,2649600,0,0,5.909225e-09,1.477306e-07,true
data/data011-031.json,59,1959744,0,0,2.875814e-08,4.934189e-07,true
data/data011-032.json,58,2661504,0,0,2.858870e-08,1.786793e-07,true
data/data011-033.json,59,2503488,0,0,1.176960e-07,7.356000e-07,true
data/data011-034.json,60,2526720,0,0,1.022326e-09,2.555816e-08,true
data/data011-035.json,60,3095040,0,0,1.595883e-08,3.989708e-07,true
data/data011-036.json,55,1911360,0,0,3.218352e-08,2.011470e-07,true
data/data011-037.json,58,2049024,0,0,1.340101e-09,3.350252e-08,true
data/data011-038.json,60,2883840,0,0,2.267246e-08,1.417029e-07,true
data/data011-039.json,57,2349312,0,0,7.178360e-09,1.794590e-07,true
data/data011-040.json,55,2006400,0,0,1.365392e-08,3.413479e-07,true
data/data011-041.json,59,2805568,0,0,3.603177e-08,2.251986e-07,true
data/data011-042.json,57,2469696,0,0,2.791228e-09,1.744517e-08,true
data/data011-043.json,61,2389248,0,0,1.385868e-08,8.661677e-08,true
data/data011-044.json,58,2067584,0,0,2.922441e-07,2.467022e-06,true
data/data011-045.json,60,3106560,0,0,1.210893e-08,7.568080e-08,true
data/data011-046.json,59,2764032,0,0,4.199805e-08,8.595127e-07,true
data/data011-047.json,57,2137728,0,0,1.482225e-07,1.868416e-06,true
data/data011-048.json,53,2113216,0,0,9.578635e-09,5.986647e-08,true
data/data011-049.json,59,2246720,0,0,1.442721e-09,3.606801e-08,true
data/data011-050.json,57,2670336,0,0,5.194059e-08,3.246287e-07,true
