datafile,sortmode,circles,convergence,level,nodes_phi1,nodes_phi2,peak_nodes,total_nodes,memory_mb,solve_time_sec,prob_time_varphi2_sec,prob_time_varphi1_sec,reliability_lb,reliability_ub
data/data013-001.json,ycoordinate,40,true,7,899,899,33726,2884,11.156044006347656,0.655072042,0.038239625,9.7709e-5,0.9707425157566235,0.9707425157566235
data/data013-002.json,ycoordinate,46,true,6,1813,1813,66430,2392,12.245368957519531,0.20948875,0.000193417,0.000179,0.9788214552418416,0.9788214552418416
data/data013-003.json,ycoordinate,42,true,6,1159,1159,35770,1850,11.230354309082031,0.118766917,0.000140625,0.000122416,0.8967232565297831,0.8967232565297831
data/data013-004.json,ycoordinate,42,true,8,6291,6291,60298,7635,12.059700012207031,0.241719709,0.00069725,0.00065775,0.9995823435013838,0.9995823435013838
data/data013-005.json,ycoordinate,43,true,7,2112,2112,85848,2258,12.883232116699219,0.208267792,0.0002295,0.000202834,0.9963093302146254,0.9963093302146254
data/data013-006.json,ycoordinate,39,true,7,987,987,38836,2965,11.319877624511719,0.129791875,0.000125,0.000104,0.8897871427251056,0.8897871427251056
data/data013-007.json,ycoordinate,41,true,7,1885,1885,37814,2564,11.296623229980469,0.178660916,0.000213208,0.00019,0.9969647855944368,0.9969647855944368
data/data013-008.json,ycoordinate,40,true,8,1556,1556,52122,2553,11.757057189941406,0.176108667,0.000176334,0.000154541,0.9795132911424432,0.9795132911424432
data/data013-009.json,ycoordinate,39,true,7,1117,1117,27594,2856,10.953025817871094,0.108295125,0.000133292,0.00011375,0.9946680479320037,0.9946680479320037
data/data013-010.json,ycoordinate,41,true,8,1239,1239,41902,1457,11.427360534667969,0.12963525,0.000144958,0.000125083,0.9870111039366122,0.9870111039366122
data/data013-011.json,ycoordinate,45,true,9,2284,2284,62342,3065,12.106742858886719,0.254861625,0.000257333,0.000227125,0.9965930425302135,0.9965930425302135
data/data013-012.json,ycoordinate,40,true,7,1545,1545,41902,4980,11.415565490722656,0.138753625,0.000178042,0.000154208,0.9985609399504651,0.9985609399504651
data/data013-013.json,ycoordinate,43,true,7,1773,1773,61320,2651,12.069511413574219,0.167518208,0.000195333,0.00017425,0.9974214582322706,0.9974214582322706
data/data013-014.json,ycoordinate,45,true,7,4044,4044,123662,5876,14.132255554199219,0.246814709,0.000432584,0.000400959,0.9996500659312754,0.9996500659312754
data/data013-015.json,ycoordinate,40,true,7,1150,1150,47012,4147,11.599006652832031,0.133061959,0.000132208,0.000118291,0.9886269214924899,0.9886269214924899
data/data013-016.json,ycoordinate,40,true,7,989,989,34748,4460,11.200935363769531,0.114987001,0.0001165,0.000100542,0.9878757435882402,0.9878757435882402
data/data013-017.json,ycoordinate,40,true,6,1085,1085,40880,1667,11.399971008300781,0.135164625,0.000122292,0.000108,0.8971552166857614,0.8971552166857614
data/data013-018.json,ycoordinate,43,true,7,1713,1713,49056,3359,11.675346374511719,0.202231708,0.000185333,0.000166792,0.9977496537807974,0.9977496537807974
data/data013-019.json,ycoordinate,43,true,8,918,918,21462,994,10.758201599121094,0.117555292,0.000107791,8.8458e-5,0.9774954250669082,0.9774954250669082
data/data013-020.json,ycoordinate,41,true,7,1549,1549,34748,4006,11.181480407714844,0.137082708,0.000176708,0.000157375,0.9798152712226874,0.9798152712226874
data/data013-021.json,ycoordinate,45,true,6,3183,3183,83804,5930,12.809226989746094,0.218551209,0.000352042,0.000341792,0.9779912063613996,0.9779912063613996
data/data013-022.json,ycoordinate,43,true,6,1368,1368,57232,1961,11.930961608886719,0.2050405,0.000155916,0.000135459,0.9876704625580421,0.9876704625580421
